Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
128,7.54,2.78,30.02,20000,128,2,binomial
256,10.54,3.3,34.71,20000,128,2,binomial
512,15.51,6.83,41.1,20000,128,2,binomial
1024,23.17,14.04,48.95,20000,128,2,binomial
2048,41.07,30.72,67.41,20000,128,2,binomial
4096,96.69,84.77,109.47,20000,128,2,binomial
8192,143.42,134.44,155.65,20000,128,2,binomial
16384,275.46,260.66,294.94,20000,128,2,binomial
32768,539.06,512.69,560.21,20000,128,2,binomial
65536,1075.8,1020.7,1109.22,20000,128,2,binomial
131072,2144.13,2052.31,2206.69,20000,128,2,binomial
262144,4295.12,4143.05,4412.57,20000,128,2,binomial
524288,22883.25,22280.29,24205.01,20000,128,2,binomial
1,1.15,0.81,1.38,20000,256,2,binomial
2,1.81,1.12,2.54,20000,256,2,binomial
4,1.96,1.32,2.63,20000,256,2,binomial
8,2.46,1.5,3.36,20000,256,2,binomial
16,3.11,1.94,4.37,20000,256,2,binomial
32,4.24,2.72,5.79,20000,256,2,binomial
64,6.36,4.08,8.66,20000,256,2,binomial
128,10.3,6.84,13.82,20000,256,2,binomial
256,15.65,11.54,19.71,20000,256,2,binomial
512,26.34,21.31,31.49,20000,256,2,binomial
1024,47.51,40.45,54.75,20000,256,2,binomial
2048,99.37,93.82,103.25,20000,256,2,binomial
4096,150.92,146.0,155.77,20000,256,2,binomial
8192,294.11,277.53,303.54,20000,256,2,binomial
16384,582.42,547.21,625.25,20000,256,2,binomial
32768,1148.08,1095.47,1226.03,20000,256,2,binomial
65536,2241.65,2162.05,2472.65,20000,256,2,binomial
131072,4450.42,4313.59,4587.21,20000,256,2,binomial
262144,23508.41,22940.32,25023.08,20000,256,2,binomial
524288,60443.39,56880.63,66677.84,20000,256,2,binomial
1,1.76,0.13,3.39,20000,2,3,non-blocking linear
2,1.75,0.13,3.37,20000,2,3,non-blocking linear
4,1.75,0.13,3.37,20000,2,3,non-blocking linear
8,1.74,0.12,3.36,20000,2,3,non-blocking linear
16,1.75,0.12,3.37,20000,2,3,non-blocking linear
32,1.84,0.12,3.55,20000,2,3,non-blocking linear
64,1.94,0.13,3.75,20000,2,3,non-blocking linear
128,1.82,0.14,3.51,20000,2,3,non-blocking linear
256,2.2,0.16,4.25,20000,2,3,non-blocking linear
512,2.26,0.18,4.33,20000,2,3,non-blocking linear
1024,2.41,0.23,4.6,20000,2,3,non-blocking linear
2048,3.64,3.22,4.07,20000,2,3,non-blocking linear
4096,4.44,4.26,4.62,20000,2,3,non-blocking linear
8192,5.36,5.28,5.44,20000,2,3,non-blocking linear
16384,6.34,6.19,6.49,20000,2,3,non-blocking linear
32768,8.9,8.71,9.09,20000,2,3,non-blocking linear
65536,13.99,12.45,15.52,20000,2,3,non-blocking linear
131072,20.52,19.0,22.04,20000,2,3,non-blocking linear
262144,35.24,33.72,36.75,20000,2,3,non-blocking linear
524288,63.75,62.21,65.29,20000,2,3,non-blocking linear
1,0.99,0.88,1.32,20000,4,3,non-blocking linear
2,1.0,0.88,1.32,20000,4,3,non-blocking linear
4,1.0,0.89,1.32,20000,4,3,non-blocking linear
8,1.0,0.89,1.32,20000,4,3,non-blocking linear
16,0.99,0.88,1.31,20000,4,3,non-blocking linear
32,1.05,0.89,1.31,20000,4,3,non-blocking linear
64,1.44,0.89,1.78,20000,4,3,non-blocking linear
128,1.49,0.92,1.86,20000,4,3,non-blocking linear
256,2.04,0.93,3.07,20000,4,3,non-blocking linear
512,2.13,0.96,3.27,20000,4,3,non-blocking linear
1024,2.28,0.99,3.53,20000,4,3,non-blocking linear
2048,2.31,1.03,3.38,20000,4,3,non-blocking linear
4096,2.85,1.15,4.35,20000,4,3,non-blocking linear
8192,4.21,1.13,6.7,20000,4,3,non-blocking linear
16384,5.75,4.45,7.61,20000,4,3,non-blocking linear
32768,9.06,5.85,12.0,20000,4,3,non-blocking linear
65536,13.83,7.98,18.04,20000,4,3,non-blocking linear
131072,24.64,13.49,31.76,20000,4,3,non-blocking linear
262144,52.46,34.62,61.4,20000,4,3,non-blocking linear
524288,103.53,72.34,117.47,20000,4,3,non-blocking linear
1,2.39,0.34,4.73,20000,8,3,non-blocking linear
2,2.39,0.33,4.71,20000,8,3,non-blocking linear
4,2.38,0.32,4.71,20000,8,3,non-blocking linear
8,2.38,0.32,4.7,20000,8,3,non-blocking linear
16,2.48,0.4,4.79,20000,8,3,non-blocking linear
32,2.55,0.38,5.02,20000,8,3,non-blocking linear
64,2.74,0.34,5.32,20000,8,3,non-blocking linear
128,2.88,0.28,5.78,20000,8,3,non-blocking linear
256,3.41,0.35,6.81,20000,8,3,non-blocking linear
512,3.51,0.41,7.08,20000,8,3,non-blocking linear
